Identifier,Has Disorder,Crystal different to Crystallographer Drawing (including Hydrogens),Crystal different to Crystallographer Drawing (excluding Hydrogens),Is Total Charge 0,Is Total Multiplicity 1
BEZHEV,False,True,True,True,True
BEZHIZ,False,True,True,True,True
BEZHIZ01,False,True,True,True,True
BEZHUL,False,True,True,True,True
BEZHUL01,False,True,True,True,True
BEZLUO,False,True,True,True,True
BIBDIB,False,True,True,True,True
BIBDIB01,False,True,True,True,True
BIBLIJ,False,True,True,True,True
BICNOT,False,True,True,True,True
BICTAJ,False,True,True,True,True
BIDRAH10,False,True,True,True,True
BIFGAA,False,True,True,True,True
BIFPUE,True,True,True,True,True
BIFQAL,True,True,True,True,True
BIFQEP,True,True,True,True,True
BIGJUX,False,True,True,True,True
BIHJAF,False,True,True,True,True
BIHLOV,False,True,True,True,True
BIHNIR,True,True,True,False,True
BIJNUG,True,True,True,True,True
BIJPIW,False,True,True,True,True
BIKQAO,False,True,True,True,True
BILQIZ,True,True,True,True,True
BILWEZ,False,True,True,True,True
BILXAY,False,True,True,True,True
BILXEC,False,True,True,True,True
BIMDUX,False,True,True,True,True
BINCIN,True,True,True,True,True
BINHIR,True,True,True,True,True
BINHOX,True,True,True,True,True
BINJAL,True,True,True,True,True
BIRNAU,False,True,True,True,True
BIRTEE,True,False,False,True,True
BIRTOO,False,True,True,True,True
BISYAG,False,True,True,True,True
BISYEK,False,True,True,True,True
BISYIO,True,True,True,True,True
BISYOU,True,True,True,True,True
BISYUA,True,True,True,True,True
BISZAH,False,True,True,True,True
BITBIR,False,False,False,True,True
BITBOX,False,False,False,True,True
BIWCUI,False,True,True,True,True
BIWDAP,True,True,True,True,True
BIXGOF,False,True,True,True,True
BIXGUL,False,True,True,True,True
BIXHAS,False,True,True,True,True
BIXHEW,False,True,True,True,True
BIXHIA,False,True,True,True,True
BIYHAV,False,True,True,True,True
BIYHAV01,False,True,True,True,True
BIYNAY,False,True,True,True,True
BIZQAF,False,True,True,True,True
BIZQEI,True,True,True,True,True
BIZQEI01,True,True,True,True,True
BIZQEJ,False,True,True,True,True
BIZQIN,False,True,True,True,True
BIZQOT,False,True,True,True,True
BIZQUZ,False,True,True,True,True
BNPERY,False,True,True,True,True
BNPERY01,False,True,True,True,True
BNPERY02,False,True,True,True,True
BNPERY03,False,True,True,True,True
BNPYRE10,False,True,True,True,True
BNPYRE11,False,True,True,True,True
BNPYRE12,False,True,True,True,True
BOBJIO,False,True,True,True,True
BOBNOW,False,True,True,True,True
BOCGIM,False,True,True,True,True
BOCGOS,True,True,True,True,True
BOFGEK,False,True,True,True,True
BOFJUD,False,True,True,True,True
BOHMAP,True,True,True,True,True
BOHMET,False,True,True,True,True
BOHMOD,True,True,True,True,True
BOJYEH,True,True,True,True,True
BOKDUD,True,True,True,True,True
BOKTON,False,True,True,True,True
BOLKOF,False,True,True,True,True
BOMMOI,True,False,False,True,True
BOMXAE,True,False,False,True,True
BONJIA,True,True,True,True,True
BOPRAZ,False,True,True,True,True
BOPTOR,False,True,True,True,True
BOPYOX,True,True,True,True,True
BOPYUD,False,False,False,True,True
BORZUG,False,True,True,True,True
BOSXUC,False,True,True,True,True
BOWBAS,False,True,True,True,True
BOWBEW,False,False,False,True,True
BOWBIA,False,True,True,True,True
BOWBOG,False,True,True,True,True
BOWCIB,False,True,True,True,True
BOWCIB01,False,True,True,True,True
BOWCOH,False,True,True,True,True
BOWCUN,False,True,True,True,True
BOWDAU,False,True,True,True,True
BOWDEY,False,True,True,True,True
BOWPEJ,False,True,True,True,True
BOWTAK,False,False,False,True,True
BOXGAW,False,True,True,True,True
BOXGAW01,False,True,True,True,True
BOYCOK,True,True,True,True,True
BRMANC,True,True,True,True,True
BRMANC01,True,True,True,True,True
BRMANC04,True,True,True,True,True
BRPHAN,False,True,True,True,True
BUBCIM,False,True,True,True,True
BUBQEV,False,True,True,True,True
BUCZEG,False,True,True,True,True
BUCZUW,False,True,True,True,True
BUDBAF,False,True,True,True,True
BUFHOA,False,True,True,True,True
BUGNID,False,True,True,True,True
BUHWAD,False,True,True,True,True
BUHWEH,True,True,True,True,True
BUKCUH,True,True,True,True,True
BUKDAO,True,True,True,True,True
BUKDES,False,True,True,True,True
BUKDIW,False,True,True,True,True
BULGIB,False,True,True,True,True
BULGOH,False,True,True,True,True
BUNCEV,False,True,True,True,True
BUNCIZ,True,False,False,True,True
BUNDAS,True,True,True,True,True
BUNDEW,True,True,True,True,True
BUQNUZ,False,True,True,True,True
BUQPAH,True,True,True,True,True
BURKAD,False,True,True,True,True
BURUBC,False,True,True,True,True
BUTNAH,True,True,True,True,True
BUXGIM,True,True,True,True,True
BUYZAY,False,True,True,True,True
BUYZUT,True,True,True,True,True
BUZBAZ,True,True,True,True,True
BUZBAZ01,True,True,True,True,True
BZANTC10,False,True,True,True,True
BZAPMA10,False,True,True,True,True
BZAPRM10,False,True,True,True,True
BZATNB20,False,True,True,True,True
CABGAO,False,True,True,True,True
CABGES,False,True,True,True,True
CABGIW,False,True,True,True,True
CABGUI,False,True,True,True,True
CABHAS,False,True,True,True,True
CABHAS01,False,True,True,True,True
CADCOB,False,True,True,True,True
CADCUH,False,True,True,True,True
CADMIE,False,True,True,True,True
CADMOK,False,False,False,True,True
CADMOK01,False,True,True,True,True
CADMUQ,False,True,True,True,True
CADNAX,True,True,True,True,True
CAFFIC,False,True,True,True,True
CAFTEL,False,True,True,True,True
CAFTIP,False,True,True,True,True
CAFWAH,False,False,False,True,True
